File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF170WDS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EFD	TF ChIP-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens										RFX5-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF288OGP/, /files/ENCFF413PMY/, /files/ENCFF647XXT/, /files/ENCFF356LFX/, /files/ENCFF065VLO/	60055	ENCODE Processing Pipeline	5f955c6c88b8098a4cf94c24633debf8		https://www.encodeproject.org/files/ENCFF170WDS/@@download/ENCFF170WDS.bed.gz				released	s3://encode-public/2021/07/08/15f6436f-e430-4e20-afae-baa64dfb16f8/ENCFF170WDS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/07/08/15f6436f-e430-4e20-afae-baa64dfb16f8/ENCFF170WDS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	moderate library complexity, low read length, mild to moderate bottlenecking, low read depth		
ENCFF124UUN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR552YWL	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1395'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11278/'], '@type': ['Target', 'Item'], 'name': 'KLF12-human', 'label': 'KLF12', '@id': '/targets/KLF12-human/', 'title': 'KLF12 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1dd7b24d-c300-4df1-9434-602614693a68', 'status': 'released'}				KLF12-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF397TED/, /files/ENCFF356LFX/, /files/ENCFF657NDS/, /files/ENCFF515EOV/	282088	ENCODE Processing Pipeline	e7417797e97529f66aae086834594e70		https://www.encodeproject.org/files/ENCFF124UUN/@@download/ENCFF124UUN.bed.gz				released	s3://encode-public/2020/07/07/a31bf47e-04f2-4bb0-b96f-47dbf1b9dbf7/ENCFF124UUN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/07/a31bf47e-04f2-4bb0-b96f-47dbf1b9dbf7/ENCFF124UUN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance		
ENCFF656PGC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR490AMH	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:FOXA2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3170/'], '@type': ['Target', 'Item'], 'label': 'FOXA2', 'title': 'FOXA2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '0cd692b8-9802-4a2b-bb33-9bfbc9b59b21', 'schema_version': '14', 'name': 'FOXA2-human', '@id': '/targets/FOXA2-human/', 'status': 'released'}				FOXA2-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF723HPB/, /files/ENCFF356LFX/, /files/ENCFF463OKE/, /files/ENCFF055CHF/	749537	ENCODE Processing Pipeline	34c85abf1024445818c7956374014327		https://www.encodeproject.org/files/ENCFF656PGC/@@download/ENCFF656PGC.bed.gz				released	s3://encode-public/2020/07/01/d04dddd0-0c21-42d8-80b0-adcf6d4b272e/ENCFF656PGC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/d04dddd0-0c21-42d8-80b0-adcf6d4b272e/ENCFF656PGC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF270GMO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF518FYW/, /files/ENCFF091EDT/, /files/ENCFF356LFX/, /files/ENCFF972YCC/	121063	ENCODE Processing Pipeline	88e474b7f470f123a4553defc95cb412		https://www.encodeproject.org/files/ENCFF270GMO/@@download/ENCFF270GMO.bed.gz				released	s3://encode-public/2021/01/02/f1d31cb8-bb2b-4191-9f71-6a782ba6e6ba/ENCFF270GMO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/f1d31cb8-bb2b-4191-9f71-6a782ba6e6ba/ENCFF270GMO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, mild to moderate bottlenecking, low read depth		
ENCFF068IGH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EGZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										MXI1-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF396DTD/, /files/ENCFF356LFX/, /files/ENCFF544ITN/, /files/ENCFF358DIK/	165195	ENCODE Processing Pipeline	9f8d21cbc2179a3e2c47ff6ecc8d9af1		https://www.encodeproject.org/files/ENCFF068IGH/@@download/ENCFF068IGH.bed.gz				released	s3://encode-public/2021/01/01/629b9504-e6aa-4381-b6ee-e710f37e4b52/ENCFF068IGH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/01/629b9504-e6aa-4381-b6ee-e710f37e4b52/ENCFF068IGH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, mild to moderate bottlenecking, low read depth		
ENCFF209MHH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR767HDQ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/253782/'], '@type': ['Target', 'Item'], 'name': 'CERS6-human', 'label': 'CERS6', '@id': '/targets/CERS6-human/', 'title': 'CERS6 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '0f37da46-2577-46d8-b08b-cc1f37d73f43', 'status': 'released'}				CERS6-human	DNA				formaldehyde		2020-07-14	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF657NDS/, /files/ENCFF356LFX/, /files/ENCFF843XGO/, /files/ENCFF489EDP/	49738	ENCODE Processing Pipeline	23e32a0bfba25aaabe148e152ef121be		https://www.encodeproject.org/files/ENCFF209MHH/@@download/ENCFF209MHH.bed.gz				released	s3://encode-public/2020/07/09/37970e2a-9713-438d-a4d7-85086092cf90/ENCFF209MHH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/09/37970e2a-9713-438d-a4d7-85086092cf90/ENCFF209MHH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents		
ENCFF089YRX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGE	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										SRF-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF945KYF/, /files/ENCFF098EHX/, /files/ENCFF356LFX/, /files/ENCFF002PKP/, /files/ENCFF768KPY/	58874	ENCODE Processing Pipeline	884468134d07c65aee27cef511240b1b		https://www.encodeproject.org/files/ENCFF089YRX/@@download/ENCFF089YRX.bed.gz				released	s3://encode-public/2020/12/26/7ccd4ac0-f454-440d-b317-57ad877b52ef/ENCFF089YRX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/7ccd4ac0-f454-440d-b317-57ad877b52ef/ENCFF089YRX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF157DSR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEE	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CEBPB-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF384ZEY/, /files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF692KBO/	924549	ENCODE Processing Pipeline	f4717fbedcab1d2d3962451e189e593e		https://www.encodeproject.org/files/ENCFF157DSR/@@download/ENCFF157DSR.bed.gz				released	s3://encode-public/2021/01/01/b4d60d9b-a3ef-4432-9652-965a98507b63/ENCFF157DSR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/01/b4d60d9b-a3ef-4432-9652-965a98507b63/ENCFF157DSR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, borderline replicate concordance, low read depth		
ENCFF825GVH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR959COF	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1074'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/65986/'], '@type': ['Target', 'Item'], 'name': 'ZBTB10-human', 'label': 'ZBTB10', '@id': '/targets/ZBTB10-human/', 'title': 'ZBTB10 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '13aa6f9d-46c9-423e-9322-e98749d4d008', 'status': 'released'}				ZBTB10-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF755HQJ/, /files/ENCFF707CUV/, /files/ENCFF657NDS/	220382	ENCODE Processing Pipeline	c31002e42ec51e4e8efedd157a34cecc		https://www.encodeproject.org/files/ENCFF825GVH/@@download/ENCFF825GVH.bed.gz				released	s3://encode-public/2020/07/01/4a936419-af15-4698-9394-a6b6280346cc/ENCFF825GVH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/4a936419-af15-4698-9394-a6b6280346cc/ENCFF825GVH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance		
ENCFF656HFI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BTN	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										PBX3-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF342QZE/, /files/ENCFF149MYF/, /files/ENCFF356LFX/, /files/ENCFF160CDT/, /files/ENCFF892WHW/, /files/ENCFF634HDG/	172999	ENCODE Processing Pipeline	7689fc479a99dadb9c75f0359e1bb0fa		https://www.encodeproject.org/files/ENCFF656HFI/@@download/ENCFF656HFI.bed.gz				released	s3://encode-public/2021/01/06/15e966b2-8378-40f7-89a8-9de379a0bd27/ENCFF656HFI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/06/15e966b2-8378-40f7-89a8-9de379a0bd27/ENCFF656HFI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released			
