Inital Meth. Value (r^0)	Target meth. value	Site STD	Site Delta	Age r	Sex r	CN r	CE r
0.759	0.439	0.006	-0.320	0.443	0.000	0.000	0.000
0.503	1.000	0.028	0.497	-0.488	-0.000	-0.000	-0.000
0.001	0.653	0.023	0.652	0.617	0.000	0.000	0.000
0.044	0.566	0.037	0.522	0.693	0.000	0.000	0.000
0.228	0.881	0.001	0.653	0.214	0.000	0.000	0.000
1.000	0.774	0.032	-0.225	0.354	0.000	0.000	0.000
0.000	0.423	0.001	0.423	-0.446	-0.000	-0.000	-0.000
0.316	0.000	0.028	-0.316	-0.464	-0.000	-0.000	-0.000
0.809	0.448	0.006	-0.361	0.561	0.000	0.000	0.000
0.905	0.248	0.027	-0.657	-0.273	-0.000	-0.000	-0.000
1.000	0.526	0.041	-0.474	-0.000	-0.607	-0.000	-0.000
0.756	0.501	0.039	-0.254	0.000	0.664	0.000	0.000
0.229	0.541	0.029	0.313	-0.000	-0.296	-0.000	-0.000
0.118	0.713	0.035	0.595	-0.000	-0.620	-0.000	-0.000
0.161	0.676	0.034	0.516	0.000	0.562	0.000	0.000
0.003	0.417	0.019	0.414	-0.000	-0.637	-0.000	-0.000
0.041	0.562	0.032	0.521	-0.000	-0.424	-0.000	-0.000
0.998	0.681	0.023	-0.317	-0.000	-0.351	-0.000	-0.000
0.103	0.528	0.003	0.425	-0.000	-0.623	-0.000	-0.000
0.007	0.560	0.019	0.553	0.000	0.635	0.000	0.000
0.000	0.263	0.010	0.262	-0.000	-0.000	-0.443	-0.000
0.000	0.313	0.030	0.313	0.000	0.000	0.238	0.000
1.000	0.301	0.022	-0.699	-0.000	-0.000	-0.698	-0.000
1.000	0.714	0.029	-0.285	-0.000	-0.000	-0.342	-0.000
0.003	0.420	0.013	0.417	-0.000	-0.000	-0.465	-0.000
0.165	0.625	0.020	0.460	0.000	0.000	0.688	0.000
0.406	0.674	0.006	0.268	0.000	0.000	0.474	0.000
0.162	0.483	0.032	0.321	-0.000	-0.000	-0.584	-0.000
0.995	0.624	0.006	-0.372	-0.000	-0.000	-0.347	-0.000
0.706	0.043	0.028	-0.663	-0.000	-0.000	-0.245	-0.000
0.098	0.572	0.033	0.474	0.000	0.000	0.000	0.542
0.891	0.602	0.033	-0.289	-0.000	-0.000	-0.000	-0.346
0.000	0.251	0.006	0.250	0.000	0.000	0.000	0.494
0.607	1.000	0.019	0.393	-0.000	-0.000	-0.000	-0.245
0.772	0.481	0.002	-0.291	0.000	0.000	0.000	0.667
0.230	0.761	0.011	0.531	0.000	0.000	0.000	0.475
0.153	0.543	0.004	0.390	-0.000	-0.000	-0.000	-0.519
0.727	0.051	0.035	-0.676	0.000	0.000	0.000	0.367
0.526	0.742	0.015	0.217	0.000	0.000	0.000	0.327
0.145	0.440	0.010	0.296	0.000	0.000	0.000	0.314
0.995	0.315	0.000	-0.680	0.000	0.000	0.000	0.000
0.228	0.903	0.047	0.674	-0.000	-0.000	-0.000	-0.000
0.368	0.000	0.019	-0.368	0.000	0.000	0.000	0.000
0.000	0.411	0.002	0.411	-0.000	-0.000	-0.000	-0.000
0.720	0.023	0.026	-0.698	-0.000	-0.000	-0.000	-0.000
0.019	0.670	0.022	0.650	0.000	0.000	0.000	0.000
0.047	0.381	0.014	0.335	0.000	0.000	0.000	0.000
0.948	0.529	0.004	-0.419	0.000	0.000	0.000	0.000
1.000	0.450	0.028	-0.550	-0.000	-0.000	-0.000	-0.000
0.987	0.302	0.015	-0.684	0.000	0.000	0.000	0.000
0.194	0.646	0.008	0.452	-0.181	-0.105	-0.000	-0.000
0.961	0.728	0.041	-0.233	-0.005	-0.321	-0.000	-0.000
0.509	1.000	0.007	0.491	-0.569	-0.011	-0.000	-0.000
0.989	0.366	0.028	-0.623	-0.359	-0.215	-0.000	-0.000
0.606	0.290	0.017	-0.316	0.093	0.336	0.000	0.000
0.979	0.631	0.014	-0.347	-0.273	0.009	-0.000	-0.000
0.006	0.335	0.007	0.328	-0.058	-0.165	-0.000	-0.000
1.000	0.639	0.021	-0.361	0.341	-0.001	0.000	0.000
0.000	0.478	0.005	0.478	0.574	0.111	0.000	0.000
0.003	0.385	0.003	0.382	0.062	0.138	0.000	0.000
0.014	0.597	0.027	0.583	-0.000	-0.299	-0.349	-0.000
0.006	0.373	0.011	0.367	-0.000	-0.215	-0.179	-0.000
0.173	0.674	0.042	0.501	0.000	0.324	-0.004	0.000
1.000	0.578	0.017	-0.422	-0.000	-0.222	-0.368	-0.000
0.000	0.667	0.012	0.667	-0.000	-0.433	0.005	-0.000
0.000	0.674	0.010	0.674	-0.000	-0.188	-0.166	-0.000
0.164	0.432	0.025	0.268	-0.000	-0.311	-0.280	-0.000
0.793	0.566	0.019	-0.227	0.000	-0.002	0.357	0.000
0.292	0.544	0.013	0.252	-0.000	-0.187	-0.040	-0.000
0.999	0.341	0.028	-0.658	-0.000	-0.107	-0.116	-0.000
1.000	0.410	0.032	-0.590	0.000	0.000	0.129	0.144
0.795	0.198	0.005	-0.597	0.000	0.000	0.128	0.240
0.620	0.957	0.040	0.337	0.000	0.000	0.275	0.388
0.514	1.000	0.026	0.486	0.000	0.000	0.159	0.150
0.096	0.726	0.005	0.630	0.000	0.000	0.301	0.066
0.995	0.563	0.011	-0.431	0.000	0.000	0.151	0.435
0.009	0.411	0.024	0.401	0.000	0.000	0.151	0.113
0.034	0.600	0.017	0.566	0.000	0.000	0.284	0.358
0.808	0.529	0.019	-0.279	0.000	0.000	0.611	0.022
0.033	0.253	0.031	0.220	0.000	0.000	0.212	0.116
1.000	0.715	0.020	-0.285	0.002	0.000	0.253	0.210
0.999	0.490	0.018	-0.510	-0.106	-0.306	-0.301	0.045
0.002	0.611	0.018	0.610	0.044	0.035	0.103	0.107
0.774	0.422	0.005	-0.352	-0.099	-0.121	-0.061	-0.152
0.986	0.480	0.030	-0.506	-0.110	-0.155	-0.080	-0.120
0.517	0.883	0.026	0.367	-0.117	-0.209	-0.129	-0.140
0.850	0.506	0.007	-0.345	-0.009	0.263	-0.061	0.120
0.199	0.683	0.013	0.484	-0.079	-0.273	-0.277	0.014
0.909	0.558	0.023	-0.351	-0.035	-0.070	-0.107	-0.011
0.006	0.530	0.034	0.525	-0.042	-0.060	-0.129	-0.144
