	Model Cluster	p Value Log	Odds Ratio	Description	Antibody	Size	Cluster Site - TF Region Overlap (a)	TF Region Only (b)	Cluster Site Only (c)	Assessed Methylation Background (d)	ENOCDE File
1	3	22.818302578517926	8.323297214917874	encode_v4_hg19 CEBPB	CEBPB	53067.0	44	16630	149	468689	ENCFF712ZNR.bed
2	3	22.53633003662763	6.946559227620817	encode_v4_hg19 CEBPB	CEBPB	69817.0	51	23862	142	461457	ENCFF014TJO.bed
3	7	22.266024439494572	45.21875480624423	encode_v4_hg19 NR1H2	NR1H2	1088.0	18	2563	75	482856	ENCFF434STO.bed
4	3	22.03082211335499	8.908908904487184	encode_v4_hg19 CEBPB	CEBPB	81537.0	40	13836	153	471483	ENCFF786CKM.bed
5	7	20.368650084066196	22.471500056736105	encode_v4_hg19 REST	REST	6706.0	22	6601	71	478818	ENCFF649VNE.bed
6	7	20.273426935544993	90.09290801734296	encode_v4_hg19 REST	REST	2971.0	13	875	80	484544	ENCFF866PJC.bed
7	3	19.88760594557614	14.370825065966136	encode_v4_hg19 EP300	EP300	28541.0	26	5203	167	480116	ENCFF631WOD.bed
8	7	18.796725759981268	22.728401724479614	encode_v4_hg19 SMAD4	SMAD4	2808.0	20	5785	73	479634	ENCFF126SGU.bed
9	3	18.04718316272317	10.173020701764338	encode_v4_hg19 CEBPB	CEBPB	53144.0	29	8292	164	477027	ENCFF157DSR.bed
10	7	17.31815204542887	18.952277251092852	encode_v4_hg19 REST	REST	9796.0	20	6917	73	478502	ENCFF717BYN.bed
11	6	16.772671566729837	6.090203214513086	encode_v4_hg19 CTCF	CTCF	75075.0	44	38021	85	447362	ENCFF504IUB.bed
12	3	16.761849809688787	9.058577261216241	encode_v4_hg19 CEBPB	CEBPB	47858.0	29	9290	164	476029	ENCFF064WDQ.bed
13	7	16.69026426154867	17.539237770474493	encode_v4_hg19 EMX1	EMX1	3953.0	20	7466	73	477953	ENCFF149LMA.bed
14	3	15.796450497832833	7.345305878944871	encode_v4_hg19 CEBPB	CEBPB	50156.0	32	12784	161	472535	ENCFF882ARK.bed
15	7	15.740179842655046	17.068623489620144	encode_v4_hg19 REST	REST	10584.0	19	7194	74	478225	ENCFF680JMZ.bed
16	7	15.658898095420792	63.02308003122179	encode_v4_hg19 REST	REST	2466.0	11	1031	82	484388	ENCFF200SDQ.bed
17	7	15.131898958665232	43.797074335804716	encode_v4_hg19 ZNF202	ZNF202	5657.0	12	1638	81	483781	ENCFF284XHX.bed
18	7	14.725454339319898	6.247675280176306	encode_v4_hg19 E2F6	E2F6	31270.0	40	52318	53	433101	ENCFF174AVU.bed
19	3	14.105304381857431	8.106805465563603	encode_v4_hg19 FOSL2	FOSL2	46346.0	26	9145	167	476174	ENCFF209EPG.bed
20	3	13.708089215056894	9.159962661443128	encode_v4_hg19 BATF	BATF	37101.0	23	7065	170	478254	ENCFF728KFD.bed
21	7	13.401591690974245	5.637982047373513	encode_v4_hg19 MAX	MAX	41900.0	40	57308	53	428111	ENCFF460LNS.bed
22	6	13.133466231958677	4.718267792825894	encode_v4_hg19 CTCF	CTCF	90283.0	44	47988	85	437395	ENCFF294RSZ.bed
23	7	13.043642535900652	9.7040945822076	encode_v4_hg19 REST	REST	10141.0	22	15020	71	470399	ENCFF814JWH.bed
24	7	12.663153341938594	16.826911813167175	encode_v4_hg19 REST	REST	6703.0	15	5485	78	479934	ENCFF087KDW.bed
25	3	12.513782535838635	7.196175748412469	encode_v4_hg19 CEBPB	CEBPB	37670.0	25	9831	168	475488	ENCFF240ZHW.bed
26	7	11.960601347925111	13.415116600744234	encode_v4_hg19 REST	REST	14601.0	16	7405	77	478014	ENCFF738LQB.bed
27	6	11.938003689337409	4.317310351161323	encode_v4_hg19 CTCF	CTCF	88426.0	44	51970	85	433413	ENCFF515MZT.bed
28	9	11.736395794601169	8.05244489042997	encode_v4_hg19 CEBPB	CEBPB	81537.0	22	13854	93	471543	ENCFF786CKM.bed
29	6	11.684651463340824	4.1261340428712865	encode_v4_hg19 CTCF	CTCF	102976.0	46	57481	83	427902	ENCFF489EMW.bed
30	6	11.682771328063387	6.526881799428183	encode_v4_hg19 CTCF	CTCF	25236.0	26	18073	103	467310	ENCFF828VJU.bed
31	1	11.581295107836636	7.747349236869794	encode_v4_hg19 MAZ	MAZ	42732.0	31	84450	19	401012	ENCFF529XTF.bed
32	3	11.559149202647102	4.46203438606344	encode_v4_hg19 ATF3	ATF3	57514.0	37	24495	156	460824	ENCFF556SMM.bed
33	1	11.320947769159837	7.942744729218369	encode_v4_hg19 ZNF687	ZNF687	88756.0	38	138374	12	347088	ENCFF581GZR.bed
34	6	11.263532214241458	5.795776804523873	encode_v4_hg19 CTCF	CTCF	22275.0	28	22157	101	463226	ENCFF626XNO.bed
35	3	11.1492790228671	11.21462047807127	encode_v4_hg19 FOSL2	FOSL2	15428.0	16	3881	177	481438	ENCFF976HNC.bed
36	7	10.936637166006639	36.858763811835	encode_v4_hg19 FOXJ3	FOXJ3	730.0	9	1408	84	484011	ENCFF117RRT.bed
37	3	10.92718606295222	8.4162127519697	encode_v4_hg19 MAFK	MAFK	47159.0	19	6216	174	479103	ENCFF124ORZ.bed
38	6	10.877744250109956	7.56275403836617	encode_v4_hg19 CTCF	CTCF	15997.0	21	12169	108	473214	ENCFF015NKY.bed
39	6	10.828425725833828	3.7836583899418024	encode_v4_hg19 CTCF	CTCF	102578.0	48	65721	81	419662	ENCFF835UIE.bed
40	3	10.648343882934107	7.576182788608954	encode_v4_hg19 NFE2	NFE2	40438.0	20	7295	173	478024	ENCFF023IFO.bed
41	6	10.6199394237428	5.100863152767178	encode_v4_hg19 CTCF	CTCF	37959.0	30	27218	99	458165	ENCFF860GRV.bed
42	3	10.617357091761182	5.834554585140422	encode_v4_hg19 CEBPG	CEBPG	40276.0	25	12070	168	473249	ENCFF456USL.bed
43	1	10.609608592075547	7.211061637480081	encode_v4_hg19 NR2C2	NR2C2	44869.0	28	72828	22	412634	ENCFF263VIC.bed
44	6	10.578147307782446	6.270751773849614	encode_v4_hg19 CTCF	CTCF	20963.0	24	17070	105	468313	ENCFF645YCX.bed
45	7	10.547192872757186	13.219862579138033	encode_v4_hg19 REST	REST	6107.0	14	6421	79	478998	ENCFF262MRD.bed
46	6	10.495374618212514	6.822340243966969	encode_v4_hg19 CTCF	CTCF	21327.0	22	14200	107	471183	ENCFF724EMP.bed
47	6	10.352187240992311	4.603192830796593	encode_v4_hg19 CTCF	CTCF	57520.0	33	33728	96	451655	ENCFF244QKO.bed
48	6	10.340046772326813	5.8518902352363655	encode_v4_hg19 CTCF	CTCF	47010.0	25	19151	104	466232	ENCFF111RWV.bed
49	6	10.215875811320661	5.769145018675193	encode_v4_hg19 CTCF	CTCF	33105.0	25	19415	104	465968	ENCFF663OEV.bed
50	3	10.095929526687556	5.7320416139257055	encode_v4_hg19 FOS	FOS	56947.0	24	11733	169	473586	ENCFF519VZH.bed
51	6	10.082628615245552	4.706204222823123	encode_v4_hg19 CTCF	CTCF	44279.0	31	30570	98	454813	ENCFF036CYO.bed
52	7	10.027312243688204	7.026581256733317	encode_v4_hg19 REST	REST	20156.0	21	19346	72	466073	ENCFF437IAR.bed
53	6	9.913700754514194	6.339323614561778	encode_v4_hg19 CTCF	CTCF	20962.0	22	15248	107	470135	ENCFF467TUY.bed
54	6	9.870345715105964	7.9695320910713034	encode_v4_hg19 CTCF	CTCF	11526.0	18	9680	111	475703	ENCFF464DDN.bed
55	6	9.86489147427766	6.30007271258941	encode_v4_hg19 CTCF	CTCF	23178.0	22	15340	107	470043	ENCFF515HTQ.bed
56	6	9.850632545519	6.288642628921475	encode_v4_hg19 CTCF	CTCF	16568.0	22	15367	107	470016	ENCFF400NQB.bed
57	6	9.794428700419239	4.9646962599718325	encode_v4_hg19 CTCF	CTCF	53621.0	28	25670	101	459713	ENCFF275GDH.bed
58	6	9.790866702212556	4.270901664575634	encode_v4_hg19 CTCF	CTCF	67587.0	34	37531	95	447852	ENCFF308JDD.bed
59	3	9.775335903356734	26.36866787998826	encode_v4_hg19 HES2	HES2	4246.0	9	899	184	484420	ENCFF209ZVL.bed
60	3	9.714974635799079	4.8954612009224	encode_v4_hg19 FOS	FOS	36860.0	27	15606	166	469713	ENCFF459DPT.bed
61	6	9.697353250395352	6.482032992084196	encode_v4_hg19 CTCF	CTCF	18562.0	21	14136	108	471247	ENCFF947KIQ.bed
62	6	9.683747679511452	5.060567528623045	encode_v4_hg19 CTCF	CTCF	45801.0	27	24126	102	461257	ENCFF457QOK.bed
63	7	9.65405421186289	11.247713136673275	encode_v4_hg19 TEAD4	TEAD4	14303.0	14	7529	79	477890	ENCFF766VUQ.bed
64	6	9.64586740789897	6.126303247435114	encode_v4_hg19 CTCF	CTCF	22437.0	22	15761	107	469622	ENCFF511EXS.bed
65	6	9.62306025751546	4.292302526901721	encode_v4_hg19 CTCF	CTCF	41751.0	33	35991	96	449392	ENCFF292GYB.bed
66	7	9.622389366269651	12.584919770931874	encode_v4_hg19 REST	REST	11941.0	13	6188	80	479231	ENCFF096JDA.bed
67	6	9.566818844911458	4.995507113847661	encode_v4_hg19 CTCF	CTCF	33950.0	27	24425	102	460958	ENCFF324DOU.bed
68	3	9.418306096980134	6.8063184353994615	encode_v4_hg19 CEBPB	CEBPB	20705.0	19	7663	174	477656	ENCFF592ZPR.bed
69	6	9.389064482480576	5.05928761835012	encode_v4_hg19 CTCF	CTCF	33680.0	26	23065	103	462318	ENCFF168XIT.bed
70	6	9.297622040783	5.857044617734569	encode_v4_hg19 CTCF	CTCF	18067.0	22	16459	107	468924	ENCFF574ILL.bed
71	6	9.288111972480472	5.001157593425958	encode_v4_hg19 CTCF	CTCF	38422.0	26	23321	103	462062	ENCFF035HJW.bed
72	6	9.165826667978116	6.36070059365596	encode_v4_hg19 CTCF	CTCF	19548.0	20	13609	109	471774	ENCFF092IAE.bed
73	3	8.975435194031478	3.941288714366597	encode_v4_hg19 TCF12	TCF12	65172.0	32	23301	161	462018	ENCFF258AZW.bed
74	1	8.972732779040816	5.974592029520249	encode_v4_hg19 ARID4A	ARID4A	44731.0	28	85254	22	400208	ENCFF258MNE.bed
75	3	8.971231249004292	7.292728668532138	encode_v4_hg19 EP300	EP300	13952.0	17	6345	176	478974	ENCFF678QTH.bed
76	7	8.938031756710313	4.064781418099012	encode_v4_hg19 MAX	MAX	40052.0	36	65286	57	420133	ENCFF200RKW.bed
77	6	8.928789718115196	3.7912974295742963	encode_v4_hg19 CTCF	CTCF	48351.0	36	44965	93	440418	ENCFF646OTN.bed
78	6	8.928351800871674	4.650105291815721	encode_v4_hg19 CTCF	CTCF	42874.0	27	26142	102	459241	ENCFF418GYV.bed
79	3	8.908829061410726	4.008589495577897	encode_v4_hg19 CEBPG	CEBPG	41766.0	31	22113	162	463206	ENCFF951QPJ.bed
80	6	8.903058944122243	5.827576924343108	encode_v4_hg19 CTCF	CTCF	23665.0	21	15670	108	469713	ENCFF306BLG.bed
81	3	8.901384606917546	4.472757500395044	encode_v4_hg19 FOSL2	FOSL2	43108.0	27	17029	166	468290	ENCFF232TVP.bed
82	6	8.833534697129235	4.905196316828809	encode_v4_hg19 CTCF	CTCF	56345.0	25	22675	104	462708	ENCFF787BQX.bed
83	9	8.816026728948682	8.615796012425239	encode_v4_hg19 CEBPB	CEBPB	53144.0	15	8306	100	477091	ENCFF157DSR.bed
84	6	8.762765404267292	4.705304588963179	encode_v4_hg19 CTCF	CTCF	54543.0	26	24712	103	460671	ENCFF029TZI.bed
85	9	8.734871038315882	7.811412012143909	encode_v4_hg19 CEBPB	CEBPB	37670.0	16	9840	99	475557	ENCFF240ZHW.bed
86	6	8.73231991713693	5.020872061738741	encode_v4_hg19 CTCF	CTCF	35091.0	24	21132	105	464251	ENCFF182MYP.bed
87	1	8.70865722152956	5.73467378849138	encode_v4_hg19 GABPB1	GABPB1	42411.0	29	94215	21	391247	ENCFF217XUD.bed
88	1	8.680058912244037	5.7153156165187795	encode_v4_hg19 MAX	MAX	70589.0	29	94472	21	390990	ENCFF254ZDA.bed
89	6	8.625636419127506	5.612564778181552	encode_v4_hg19 CTCF	CTCF	19185.0	21	16252	108	469131	ENCFF384CCC.bed
90	6	8.584263453854255	3.951437225573971	encode_v4_hg19 CTCF	CTCF	54442.0	32	37397	97	447986	ENCFF284EIV.bed
91	6	8.58016158306324	4.927329743486163	encode_v4_hg19 CTCF	CTCF	29844.0	24	21517	105	463866	ENCFF529BHM.bed
92	6	8.538569078087926	5.546243542388148	encode_v4_hg19 CTCF	CTCF	28212.0	21	16440	108	468943	ENCFF682RNL.bed
93	7	8.483597614461864	8.271181333269258	encode_v4_hg19 HOXB5	HOXB5	10493.0	15	11030	78	474389	ENCFF634TZG.bed
94	7	8.461035021455212	6.64325487651861	encode_v4_hg19 MBD1	MBD1	10679.0	18	16925	75	468494	ENCFF751MTJ.bed
95	3	8.425601303166538	5.893719331141623	encode_v4_hg19 JUND	JUND	41175.0	19	8828	174	476491	ENCFF217QFC.bed
96	6	8.328406709034342	4.47055022772573	encode_v4_hg19 CTCF	CTCF	44703.0	26	25942	103	459441	ENCFF223LTI.bed
97	3	8.305173259122414	7.65742035150685	encode_v4_hg19 CEBPB	CEBPB	17244.0	15	5283	178	480036	ENCFF155LGO.bed
98	6	8.255691852629925	4.084046213469457	encode_v4_hg19 CTCF	CTCF	54033.0	29	32183	100	453200	ENCFF116KLB.bed
99	6	8.223995367948369	9.353055145666216	encode_v4_hg19 CTCF	CTCF	7195.0	13	5747	116	479636	ENCFF525JGP.bed
100	3	8.193865890908715	4.9232165202517555	encode_v4_hg19 BACH1	BACH1	15737.0	22	12361	171	472958	ENCFF678TXX.bed
101	6	8.186641505447252	5.061039419016947	encode_v4_hg19 CTCF	CTCF	24685.0	22	18949	107	466434	ENCFF549WAF.bed
102	6	8.159658915155186	5.04275921761472	encode_v4_hg19 CTCF	CTCF	22367.0	22	19015	107	466368	ENCFF484VPU.bed
103	6	8.150587655239558	3.7776369608142915	encode_v4_hg19 CTCF	CTCF	56708.0	32	38982	97	446401	ENCFF226NCM.bed
104	6	8.144638639091152	6.136625822333942	encode_v4_hg19 CTCF	CTCF	19235.0	18	12496	111	472887	ENCFF147HSY.bed
105	7	8.136035839614378	6.716492850080259	encode_v4_hg19 REST	REST	15816.0	17	15645	76	469774	ENCFF650LAZ.bed
106	1	8.135435395437385	5.888929345685227	encode_v4_hg19 MYC	MYC	32146.0	23	61349	27	424113	ENCFF239IMY.bed
107	6	8.11798407334453	5.48468161947082	encode_v4_hg19 CTCF	CTCF	24482.0	20	15712	109	469671	ENCFF263JRA.bed
108	7	8.09873965073995	17.24051214921119	encode_v4_hg19 ZNF532	ZNF532	3146.0	9	2997	84	482422	ENCFF795EGN.bed
109	6	8.091951746209066	4.6342988912814524	encode_v4_hg19 CTCF	CTCF	37779.0	24	22813	105	462570	ENCFF351URT.bed
110	3	8.056316307479381	4.8333479505983465	encode_v4_hg19 JUND	JUND	31551.0	22	12584	171	472735	ENCFF146MHU.bed
111	6	8.035566666535741	6.0335025163872835	encode_v4_hg19 CTCF	CTCF	13212.0	18	12704	111	472679	ENCFF292NVM.bed
112	3	8.027459294029404	8.837372381171201	encode_v4_hg19 JUN	JUN	18344.0	13	3934	180	481385	ENCFF079UOJ.bed
113	6	8.018187532895137	6.4039140426560435	encode_v4_hg19 CTCF	CTCF	15916.0	17	11238	112	474145	ENCFF126LRK.bed
114	6	8.002002516008526	5.674222080523598	encode_v4_hg19 CTCF	CTCF	17357.0	19	14337	110	471046	ENCFF910ACN.bed
115	6	7.984978654231287	5.380643476525504	encode_v4_hg19 CTCF	CTCF	24843.0	20	16006	109	469377	ENCFF829XMK.bed
116	5	7.977658272599308	6.790797441489494	encode_v4_hg19 TBX21	TBX21	40139.0	17	21896	53	463546	ENCFF170IZO.bed
117	6	7.9543849546651995	4.155410363964695	encode_v4_hg19 CTCF	CTCF	44478.0	27	29069	102	456314	ENCFF749GUK.bed
118	1	7.937181655086518	5.489580773675281	encode_v4_hg19 ZBTB20	ZBTB20	42491.0	25	74807	25	410655	ENCFF076WDH.bed
119	3	7.896482467349111	5.175733463730988	encode_v4_hg19 CEBPB	CEBPB	31574.0	20	10603	173	474716	ENCFF894YJQ.bed
120	3	7.893883338026246	3.877629338107988	encode_v4_hg19 CEBPA	CEBPA	58318.0	28	20350	165	464969	ENCFF260FYO.bed
121	6	7.818874094218649	4.476239351025738	encode_v4_hg19 CTCF	CTCF	23287.0	24	23581	105	461802	ENCFF516DOX.bed
122	6	7.808962460422796	3.9800848079520237	encode_v4_hg19 CTCF	CTCF	49291.0	28	31610	101	453773	ENCFF204QCJ.bed
123	3	7.784927520573029	3.419759920945968	encode_v4_hg19 JUND	JUND	35328.0	33	27605	160	457714	ENCFF273KIA.bed
124	7	7.7772692475462195	40.41105663602878	encode_v4_hg19 ZSCAN18	ZSCAN18	1493.0	6	826	87	484593	ENCFF969PVK.bed
125	6	7.737217717391201	4.5858449694354695	encode_v4_hg19 CTCF	CTCF	57427.0	23	21926	106	463457	ENCFF278FNP.bed
126	6	7.73613387194948	4.585177273420229	encode_v4_hg19 CTCF	CTCF	41469.0	23	21929	106	463454	ENCFF925SVT.bed
127	6	7.709374870498773	3.605349914368262	encode_v4_hg19 CTCF	CTCF	55307.0	32	40690	97	444693	ENCFF790IQB.bed
128	3	7.697398890946282	4.604799101365747	encode_v4_hg19 GATA3	GATA3	73373.0	22	13190	171	472129	ENCFF833ZAC.bed
129	1	7.686972332142406	6.0570896113094035	encode_v4_hg19 KLF9	KLF9	23677.0	20	48133	30	437329	ENCFF758SMD.bed
130	6	7.664150865277752	4.015116687631327	encode_v4_hg19 CTCF	CTCF	46052.0	27	30023	102	455360	ENCFF564KJT.bed
131	5	7.631540440894842	4.803785610862973	encode_v4_hg19 IKZF1	IKZF1	69777.0	24	47559	46	437883	ENCFF819VMH.bed
132	6	7.62624207595644	6.918207278060978	encode_v4_hg19 CTCF	CTCF	15831.0	15	9059	114	476324	ENCFF229IQW.bed
133	6	7.588056860389668	4.0885921430197865	encode_v4_hg19 CTCF	CTCF	33584.0	26	28226	103	457157	ENCFF992VPQ.bed
134	6	7.576595543621257	3.700139034889208	encode_v4_hg19 CTCF	CTCF	34659.0	30	36742	99	448641	ENCFF176ERE.bed
135	6	7.562764861853561	3.9668407735480318	encode_v4_hg19 CTCF	CTCF	38747.0	27	30366	102	455017	ENCFF978ZGD.bed
136	6	7.562757818205201	4.650362172873402	encode_v4_hg19 CTCF	CTCF	33365.0	22	20551	107	464832	ENCFF231KCT.bed
137	1	7.555455988779497	5.218228326630696	encode_v4_hg19 SP2	SP2	30810.0	25	78072	25	407390	ENCFF444VWF.bed
138	3	7.553844773082612	6.694583898068988	encode_v4_hg19 CEBPB	CEBPB	17657.0	15	6033	178	479286	ENCFF963FVR.bed
139	6	7.5399110593535665	4.318351319054216	encode_v4_hg19 CTCF	CTCF	42101.0	24	24400	105	460983	ENCFF883YRD.bed
140	1	7.517496829122719	5.2893087615945165	encode_v4_hg19 JUN	JUN	39201.0	24	72134	26	413328	ENCFF329CUQ.bed
141	6	7.450248039689023	4.268425861132774	encode_v4_hg19 CTCF	CTCF	44447.0	24	24671	105	460712	ENCFF624ZSR.bed
142	7	7.41699090975267	14.315480604770505	encode_v4_hg19 ZBTB33	ZBTB33	7683.0	9	3607	84	481812	ENCFF356WOE.bed
143	6	7.318032172305578	4.676257984923545	encode_v4_hg19 CTCF	CTCF	26985.0	21	19378	108	466005	ENCFF480QYI.bed
144	5	7.305878733791396	7.46174614046228	encode_v4_hg19 ETV6	ETV6	21745.0	14	15734	56	469708	ENCFF151UJT.bed
145	7	7.303599624414731	5.854370709188592	encode_v4_hg19 REST	REST	18108.0	17	17863	76	467556	ENCFF884WVM.bed
