	Chrom	Start	End	Strand	Site Selection Category	Cluster ID	Site Delta	Site Std	Intercept	r Age	r Sex	r CT-PC1	r CT-PC2	r Age / Std	r Sex / Std	r CT-PC1 / Std	r CT-PC2 / Std
cg00026186	chrX	48367229	48367230	-	Sex	1	0.5540549126460171	0.23369844642494036	0.004235260270887997	-0.013589015710721413	0.4747933009022858	0.04055649527767616	-0.0016448067819660461	-0.05814765103749184	2.031649367659706	0.17354199780999466	-0.007038158820171394
cg00114625	chrX	24483477	24483478	+	Sex	1	0.6486643958444201	0.26917386593218645	0.007182156842410414	-0.0027607859310162957	0.5460129702187579	0.03346063921357634	-0.005160939346186666	-0.010256515510728766	2.0284769040554487	0.12430864748959748	-0.019173255651374687
cg00583618	chrX	49020113	49020114	-	Sex	1	0.7218718711736669	0.24120622038907105	0.006928077477585226	-0.01459873723879649	0.49020200113109075	0.03480389028943398	0.005319299849526893	-0.0605238837342105	2.0322941934929535	0.14429101468981406	0.022052913233111246
cg00666173	chrX	46433827	46433828	+	Sex	1	0.6260424988680707	0.26693622279466994	0.007259582324478653	-0.01306990474996617	0.5421205521233301	0.03347728899844302	0.007489420311815764	-0.0489626496289328	2.030899165529643	0.12541306177166553	0.028056965193430126
cg00810519	chrX	48769106	48769107	-	Sex	1	0.6223287534776795	0.2644134716327731	0.01033140471682531	-0.021616193052584064	0.5377549208269528	0.03009533856419333	0.007325070402559086	-0.08175148156825159	2.033765214405588	0.11381923310621182	0.027703090759053327
cg00832270	chrX	77359534	77359535	+	Sex	1	0.5944690887487207	0.24822244903236682	0.001822261153367033	-0.02012872778486684	0.5035606438254681	0.047659282703382905	-0.0001904122158379873	-0.0810914881523958	2.028666809905685	0.1920023063553305	-0.0007671031229458163
cg01120894	chrX	129305725	129305726	-	Sex	1	0.6998436177069212	0.2523677487525747	0.010711796854173783	-0.01938460114261358	0.5130254549104349	0.02777279249474296	0.013558712491321345	-0.07681092864848806	2.032848719562075	0.11004889742061232	0.05372601118146249
cg01742836	chrX	135229754	135229755	+	Sex	1	0.7714789806355077	0.3252575384939004	0.02337044037560504	-0.010264744536358969	0.6611167162717382	0.006985663388789309	0.011502554837343693	-0.03155882130784638	2.0325945997532546	0.021477329691223478	0.035364452706019
cg01869765	chrX	47862976	47862977	-	Sex	1	0.6893616601711788	0.28212178908065705	0.028974168042751713	-0.02161158612362383	0.5740959105226355	0.006424555327123216	0.014096775461417077	-0.076603746892606	2.0349222667041316	0.022772276285567123	0.04996698591538737
cg02333283	chrX	153707098	153707099	-	Sex	1	0.6312429578494718	0.266376304233418	-0.0034681835629611912	-0.008185345845058417	0.5401522493051243	0.04929264213031373	0.005462334173437111	-0.030728505933042115	2.027778900452813	0.18504890017214137	0.020506081384215852
